index,feature,imputer_median,scaler_mean,scaler_scale
56,elapsed_time,1421.5999755859375,2089.6234709442433,2052.3298633118234
57,delta_time,0.10000000149011612,0.10252776635736173,2.7643678452035214
58,accel_x,0.014399999752640724,-0.010739075294008823,1.6122415271724087
59,accel_y,-0.011800000444054604,-0.0393093290220774,1.56692298893906
60,accel_z,9.84939956665039,9.847044767370283,0.7295649456313525
61,accel_magnitude,9.94334602355957,10.089996026982801,0.8629987039085902
62,gyro_yaw,-9.999999747378752e-05,-0.0003840543087665394,0.1151325922748874
63,gyro_pitch,-0.0010000000474974513,-0.003053589743640872,0.23275468284727055
64,gyro_roll,0.00019999999494757503,1.432913914356894e-05,0.1386134551575372
65,gyro_magnitude,0.12793947756290436,0.19519185017732504,0.22034872323406096
66,mag_x,-12.0600004196167,-10.910860613297201,13.067880950401852
67,mag_y,-33.689998626708984,-31.82242158901045,8.066587634300724
68,mag_z,15.3100004196167,15.326219763694576,18.016110246486512
69,mag_magnitude,42.44528579711914,43.25460897663511,7.487642618807409
70,gravity_x,0.0,1.6264591541251771e-06,0.03508508960691468
71,gravity_y,0.0,1.6264591541251771e-06,0.03508508960691468
72,gravity_z,9.806599617004395,9.806477524410091,0.003144048914113438
73,gravity_magnitude,9.806601524353027,9.8066033985348,0.002189212077460705
74,orientation_yaw,245.85000610351562,211.7267264089918,119.75480108227927
75,orientation_pitch,-84.41000366210938,-83.87417429660358,3.855071196117233
76,orientation_roll,-118.55999755859375,-36.63155900371951,136.44689948376504
77,gps_latitude,52.445945739746094,52.592473835258865,0.31740004654084697
78,gps_longitude,-1.5348299741744995,-1.5394708961446648,0.2568439281883385
79,gps_altitude,159.0,177.20149239216906,76.56587878890869
80,gps_speed,9.770000457763672,10.510575222561757,7.600319037164017
81,gps_accuracy,3.0,23.417324959040677,213.98914504777943
82,gps_satellites,21.0,21.460516733020153,4.017159783230806
83,accel_change,0.3927127718925476,0.6850580928432201,0.8667790624024154
84,accel_change_rate,0.0,0.05698791546298108,62.32693798644914
85,gyro_change,0.03805754706263542,0.09302189858076355,0.15693566449690885
86,gyro_change_rate,0.0,0.21372529425210765,25.84304957603669
87,magnetic_field_change,0.3619146943092346,1.0143471398415689,3.2486773125318984
88,magnetic_field_change_rate,0.0,3.777222969829887,352.6115086006508
89,speed_change,0.0,0.11316624736681383,0.9720890896611225
90,speed_change_rate,0.0,-5.785292208638451,338.94267432478273
91,yaw_change,0.0,-0.020875159951216936,13.382935972867193
92,yaw_change_rate,0.20000000298023224,-167.10688150778472,4905.968935569838
93,pitch_change,0.0,-9.852947095727655e-05,1.479366971623455
94,pitch_change_rate,0.0,20.136713419903742,1628.3195517778393
95,roll_change,0.0,-0.0010521697512557292,8.237043343454134
96,roll_change_rate,0.0,-52.42023613255876,2179.742232573355
97,sensor_quality_score,1.0,0.9992860062266312,0.013341238931740482
98,accel_magnitude_rolling_mean,9.970711708068848,10.089929344056404,0.42257316877404966
99,accel_magnitude_rolling_std,0.4856993854045868,0.5816960955266004,0.47718989903008846
100,accel_magnitude_rolling_min,9.293371200561523,9.161039199168043,0.6375088173457667
101,accel_magnitude_rolling_max,10.785452842712402,11.096680963499338,1.2323763761305007
102,accel_magnitude_rolling_range,1.6069356203079224,1.9356417641389316,1.6086046323563332
103,gyro_magnitude_rolling_mean,0.15421122312545776,0.19518476575043184,0.175300755258368
104,gyro_magnitude_rolling_std,0.057256847620010376,0.08574044680782864,0.10227912362842975
105,gyro_magnitude_rolling_min,0.05315721780061722,0.0775050004380941,0.0828403474954752
106,gyro_magnitude_rolling_max,0.26766160130500793,0.3515878948636062,0.3558664781840188
107,gyro_magnitude_rolling_range,0.18532434105873108,0.274082894437568,0.3208662863110639
108,mag_magnitude_rolling_mean,42.50944900512695,43.25430554786687,7.07286092207248
109,mag_magnitude_rolling_std,0.3719075620174408,1.0772160787631146,2.209045457203926
110,mag_magnitude_rolling_min,41.37504959106445,42.019947867601594,6.94828960682965
111,mag_magnitude_rolling_max,43.75381851196289,45.38144148564375,9.666709601846405
112,mag_magnitude_rolling_range,1.237889289855957,3.361493614457581,6.705030842986207
113,gravity_magnitude_rolling_mean,9.806600570678711,9.80660340563431,0.0006215643396010827
114,gravity_magnitude_rolling_std,5.047209560871124e-05,0.00011998977693244856,0.0020956814243633178
115,gravity_magnitude_rolling_min,9.806503295898438,9.806404288828695,0.003312995117458093
116,gravity_magnitude_rolling_max,9.806658744812012,9.806817306872484,0.005579853003855282
117,gravity_magnitude_rolling_range,0.0001656492822803557,0.0004130060649226071,0.008174490397358526
118,gps_speed_rolling_mean,9.739999771118164,10.51067786877011,7.572496991176558
119,gps_speed_rolling_std,0.0,0.14795771313766007,0.6393888396240969
120,gps_speed_rolling_min,9.59000015258789,10.343510368267383,7.616852227753387
121,gps_speed_rolling_max,10.0,10.678822043458162,7.5800100664774615
122,gps_speed_rolling_range,0.0,0.33531098707640417,1.3935066930382676
123,accel_change_rolling_mean,0.5467700362205505,0.6850740467980155,0.5863528660077625
124,accel_change_rolling_std,0.37830325961112976,0.4769667278902403,0.4242696901122277
125,accel_change_rolling_min,0.04889770597219467,0.09898711495314073,0.14665675150345134
126,accel_change_rolling_max,1.2879831790924072,1.6164250216077323,1.4082132368573834
127,accel_change_rolling_range,1.2046421766281128,1.5174350103278866,1.3405604116547514
128,gyro_change_rolling_mean,0.05506147816777229,0.0930158455563956,0.11608727111073637
129,gyro_change_rolling_std,0.03854914382100105,0.06404706795772679,0.08393827506777476
130,gyro_change_rolling_min,0.004738795571029186,0.013549067860356033,0.027316214354596642
131,gyro_change_rolling_max,0.1315508633852005,0.21654837384722406,0.27758394963725913
132,gyro_change_rolling_range,0.12268728762865067,0.20299895913274554,0.26420690975913824
133,speed_change_rolling_mean,0.0,0.11327968573376147,0.8948285498370506
134,speed_change_rolling_std,0.0,0.09042595905494319,0.3701129789964281
135,speed_change_rolling_min,0.0,0.06915440971814876,0.826858889608543
136,speed_change_rolling_max,0.0,0.3622915418991169,1.4333335058102241
137,speed_change_rolling_range,0.0,0.29313713222201543,1.179362314766303
